Area.Code,LSOA.name,Population
E01007959,Sheffield 041E,1451
E01008109,Sheffield 042B,2974
E01008112,Sheffield 042D,1746
E01008113,Sheffield 042E,1846
E01008095,Sheffield 043A,1996
E01008096,Sheffield 043B,2206
E01008097,Sheffield 043C,1409
E01008101,Sheffield 043D,1875
E01007965,Sheffield 044A,1879
E01007969,Sheffield 044B,1518
E01007972,Sheffield 044C,1397
E01007974,Sheffield 044D,1401
E01007963,Sheffield 045A,1450
E01007967,Sheffield 045B,1814
E01007999,Sheffield 045C,1279
E01008008,Sheffield 045D,1661
E01008009,Sheffield 045E,1634
E01008043,Sheffield 046A,1675
E01008044,Sheffield 046B,1640
E01008047,Sheffield 046C,1549
E01008048,Sheffield 046D,1650
E01008050,Sheffield 046E,1585
E01007931,Sheffield 047A,1573
E01007934,Sheffield 047B,1477
E01007935,Sheffield 047C,1455
E01007936,Sheffield 047D,1656
E01007937,Sheffield 047E,1460
E01007938,Sheffield 047F,1533
E01008098,Sheffield 048A,1513
E01008100,Sheffield 048B,1355
E01008102,Sheffield 048C,1429
E01008103,Sheffield 048D,1193
E01007964,Sheffield 049A,1526
E01007966,Sheffield 049B,1487
E01007968,Sheffield 049C,1463
E01007970,Sheffield 049D,1617
E01008042,Sheffield 050A,1686
E01008045,Sheffield 050B,1450
E01008046,Sheffield 050C,1689
E01008049,Sheffield 050D,1739
E01008051,Sheffield 050E,1693
E01008052,Sheffield 050F,2011
E01007975,Sheffield 051A,1644
E01007976,Sheffield 051B,1455
E01007977,Sheffield 051C,1569
E01007979,Sheffield 051D,1864
E01008099,Sheffield 051E,1649
E01008000,Sheffield 052A,1440
E01008001,Sheffield 052B,1522
E01008004,Sheffield 052C,1581
E01008005,Sheffield 052D,1525
E01008010,Sheffield 052E,1436
E01007978,Sheffield 053A,1597
E01007980,Sheffield 053B,1540
E01007981,Sheffield 053C,1587
E01007983,Sheffield 053D,1501
E01007985,Sheffield 053E,1502
E01007982,Sheffield 054A,1974
E01008002,Sheffield 054B,1528
E01008003,Sheffield 054C,1387
E01008006,Sheffield 054D,1472
E01007927,Sheffield 055A,1687
E01007928,Sheffield 055B,1744
E01007929,Sheffield 055C,1854
E01007930,Sheffield 055D,1417
E01007932,Sheffield 055E,1399
E01007939,Sheffield 055F,1571
E01008028,Sheffield 056A,1547
E01008029,Sheffield 056B,1504
E01008032,Sheffield 056C,1351
E01008034,Sheffield 056D,1664
E01007828,Sheffield 059A,1744
E01007829,Sheffield 059B,1502
E01007831,Sheffield 059C,1475
E01007832,Sheffield 059D,1530
E01007986,Sheffield 059E,1363
E01008007,Sheffield 060A,1828
E01008075,Sheffield 060B,1537
E01008076,Sheffield 060C,1444
E01008077,Sheffield 060D,1571
E01008031,Sheffield 061A,1396
E01008033,Sheffield 061B,1243
E01008038,Sheffield 061C,1431
E01008040,Sheffield 061D,1655
E01007835,Sheffield 062A,1435
E01007836,Sheffield 062B,1600
E01007843,Sheffield 062C,1681
E01007846,Sheffield 062D,1463
E01008030,Sheffield 063A,1452
E01008035,Sheffield 063B,1119
E01008036,Sheffield 063C,1375
E01008041,Sheffield 063D,1358
E01007827,Sheffield 064A,1508
E01007830,Sheffield 064B,1448
E01007833,Sheffield 064C,1550
E01007984,Sheffield 064D,1485
E01008078,Sheffield 064E,1407
E01008079,Sheffield 064F,1270
E01008019,Sheffield 065A,1909
E01008020,Sheffield 065B,1335
E01008022,Sheffield 065C,1448
E01008027,Sheffield 065D,1527
E01008037,Sheffield 065E,1361
E01008039,Sheffield 065F,1213
E01007824,Sheffield 066A,1325
E01007825,Sheffield 066B,1481
E01007826,Sheffield 066C,1400
E01007834,Sheffield 066D,1626
E01007920,Sheffield 068A,1703
E01007921,Sheffield 068B,1675
E01007923,Sheffield 068C,1891
E01007925,Sheffield 068D,1757
E01007926,Sheffield 068E,1683
E01007933,Sheffield 068F,1571
E01007823,Sheffield 069A,1692
E01007916,Sheffield 069B,1616
E01007919,Sheffield 069C,1773
E01008080,Sheffield 069D,1495
E01008081,Sheffield 070A,1549
E01008082,Sheffield 070B,1528
E01008083,Sheffield 070C,1571
E01008084,Sheffield 070D,1703
E01007915,Sheffield 071A,1416
E01007917,Sheffield 071B,1535
E01007918,Sheffield 071C,1718
E01007922,Sheffield 071D,1348
E01007924,Sheffield 071E,1616
E01008021,Sheffield 072A,1426
E01008023,Sheffield 072B,2107
E01008024,Sheffield 072C,1929
E01008025,Sheffield 072D,1982
E01032585,Sheffield 072E,1381
E01033276,Sheffield 073E,5957
E01008114,Sheffield 074A,3489
E01008115,Sheffield 074B,1766
E01007878,Sheffield 075A,1766
E01007879,Sheffield 075B,1616
E01007881,Sheffield 075C,1561
E01007882,Sheffield 075D,1654
E01007885,Sheffield 075E,1889
E01007886,Sheffield 075F,1665
E01033268,Sheffield 075G,3625
E01007838,Sheffield 076A,1496
E01007839,Sheffield 076B,1607
E01007841,Sheffield 076C,1501
E01007842,Sheffield 076D,1549
E01033278,Sheffield 076E,2683
E01033279,Sheffield 076F,2235
